url,retweet_count,quote_tweet_count,like_count
https://mobile.twitter.com/BLANCandECLARE/status/1307372506488078337,16.5K,61,"1,343"
https://mobile.twitter.com/milynche/status/1317104174333480961?s=21,"6,355",177,"1,877"
https://mobile.twitter.com/vaitor/status/1317068176501268481,35.1K,428,"5,855"
https://twitter.com/00088hhk/status/1316749087509626880,19,4,6
https://twitter.com/001_cop/status/1295216677630562309,62.3K,157,18.2K
https://twitter.com/001_cop/status/1317247572860235776,73.9K,77,12.2K
https://twitter.com/00469b/status/1317089654198341633,20,0,1
https://twitter.com/00469b/status/1317099610658107394,3,0,0
https://twitter.com/0053333id/status/1317418430501355520?s=09,209,2,64
https://twitter.com/007_sosadxxx/status/1317052814208634882,0,1,0
https://twitter.com/007xqs/status/1284778182537691137,3,2,2
https://twitter.com/00_gkgk/status/1317087680648351744,2,1,0
https://twitter.com/00_naja/status/1284723524452495365,"4,131",44,"1,316"
https://twitter.com/0109jjkxx/status/1317093328781860865,6,0,0
https://twitter.com/0110sep/status/1283391708458217473,14.7K,"3,349","3,538"
https://twitter.com/01234567_twt/status/1317100214558150658,20,0,0
https://twitter.com/01234567_twt/status/1317399729043501057,2,0,2
https://twitter.com/012_frv/status/1317351679528816642,33,0,2
https://twitter.com/012_frv/status/1317384027020562433,4,0,0
https://twitter.com/0139life/status/1268540494864437252,785,516,301
https://twitter.com/0139life/status/1317377599442579456,44,0,5
https://twitter.com/0139life/status/1317395873265979394,18,0,3
https://twitter.com/0139life/status/1317407847164997632,33,0,2
https://twitter.com/019kyoto/status/1331551983359049730,2,0,2
https://twitter.com/01ABCDEFG/status/1284552567599423488,10.8K,64,"1,855"
https://twitter.com/0258_9634/status/1317410731424243712,8,0,2
https://twitter.com/0306oct/status/1268884949613989891,1,1,1
https://twitter.com/0306oct/status/1269614310277312513,0,1,0
https://twitter.com/0306oct/status/1284728077604450304,3,2,0
https://twitter.com/031917X/status/1316991361724280833,22,0,3
https://twitter.com/03decp/status/1317085484036730881,48K,507,"8,772"
https://twitter.com/03decp/status/1317087615674327040,0,1,0
https://twitter.com/03luvu/status/1317365471830630407,34,3,3
https://twitter.com/0409nyh/status/1268839308955279361,1,1,0
https://twitter.com/0409nyh/status/1268916993358364673,1,2,0
https://twitter.com/0409nyh/status/1269562799644004352,2,3,0
https://twitter.com/0409nyh/status/1284524501414277125,"2,846",2,195
https://twitter.com/0409nyh/status/1307398066597629952,146,0,5
https://twitter.com/0409nyh/status/1317074567592960000,"1,183",3,61
https://twitter.com/0409nyh/status/1317076094793654272,10.3K,15,572
https://twitter.com/0409nyh/status/1317076313824321537,62,1,4
https://twitter.com/0409nyh/status/1317317602029441025,323,0,23
https://twitter.com/0409nyh/status/1317392511355138048,48.4K,84,"3,798"
https://twitter.com/0409nyh/status/1317415385688203264,20,0,2
https://twitter.com/0409nyh/status/1317465104833683456,37.3K,85,"2,888"
https://twitter.com/0409nyh/status/1317465834701213697,926,5,109
https://twitter.com/0409nyh/status/1331643171617472523,"4,275",73,608
https://twitter.com/0415DATA/status/1307197102007545856,1,1,0
https://twitter.com/0415DATA/status/1317387961126641670,1,1,1
https://twitter.com/0420tar/status/1317703194097582082,"2,144",68,351
https://twitter.com/0444am_/status/1317291363105320967,48,2,11
https://twitter.com/04TIANX/status/1317363770939764736,15,0,0
https://twitter.com/04Youare/status/1317439023879577601,81,3,44
https://twitter.com/04bacons/status/1269200359366352896,1,1,0
https://twitter.com/0514mxstore/status/1317089373750349825,37,2,7
https://twitter.com/052xn/status/1307207475125391361,2,0,0
https://twitter.com/060600lhc/status/1317431012025126912,1,1,1
https://twitter.com/060600lhc/status/1317431130203840512,3,0,0
https://twitter.com/06Coolkiddo/status/1284732148964982784,0,2,0
https://twitter.com/06_10_63/status/1317428632059441158,43,3,6
https://twitter.com/06aprilx/status/1317151429899874307,14,1,8
https://twitter.com/06rk11/status/1307388963577950209,3,0,5
https://twitter.com/0701_presstapty/status/1317425744633528321,"1,216",0,179
https://twitter.com/0701_presstapty/status/1317429861863096325,"3,793",3,269
https://twitter.com/0701_presstapty/status/1317432575334453248,29,0,2
https://twitter.com/07Mulberry/status/1316791891908677632,21K,143,"4,940"
https://twitter.com/07_05m/status/1317295158933688320,2,0,0
https://twitter.com/07_2538/status/1317281528997539840,"4,642",28,"1,972"
https://twitter.com/0803jilly/status/1268886961781014529,0,1,0
https://twitter.com/0805_fany/status/1317060735613063168,31.9K,233,"3,059"
https://twitter.com/080897_/status/1307490735789191169,"2,508",28,413
https://twitter.com/0808Momoya/status/1317653041009500161,"1,655",58,583
https://twitter.com/0809tymex_/status/1269304599539863552,3,4,0
https://twitter.com/0813wm/status/1317378822187089921,10.8K,76,"2,243"
https://twitter.com/083av/status/1296036803699343360,13,1,7
https://twitter.com/08kyp__/status/1317089696980168706,218,18,34
https://twitter.com/08kyp__/status/1317097885612191744,"2,387",5,325
https://twitter.com/08sepr/status/1295999773997031424,3,1,4
https://twitter.com/08x1999/status/1317081139354324992,3,1,1
https://twitter.com/091647k/status/1317089218347233286,16,0,4
https://twitter.com/091647k/status/1317099084210003970,120,1,29
https://twitter.com/091647k/status/1317407219256680453,16,0,2
https://twitter.com/091647k/status/1317415982445387777,27,2,6
https://twitter.com/091647k/status/1317473028620525568,41,3,14
https://twitter.com/0919vyy/status/1317101675157413888,113,3,14
https://twitter.com/0920answer/status/1317130932864774146,"4,272",103,839
https://twitter.com/0925_srr/status/1331621889337266176,5,0,3
https://twitter.com/09munkz/status/1317070189356220417,23,2,1
https://twitter.com/0ADZ11LA/status/1317409430095343616,16,1,39
https://twitter.com/0H5XSeOVMN9YTCs/status/1317122506034089986,18,1,1
https://twitter.com/0JokerB0/status/1317395968518627328,44.3K,135,"6,206"
https://twitter.com/0JokerB0/status/1331548146380390400,32,7,6
https://twitter.com/0Newgeneration4/status/1295701027069386753,11,2,7
https://twitter.com/0RANGE27895995/status/1317290263023284226,328,6,86
https://twitter.com/0ZlGQCAqKr2Nffx/status/1295923008129753088,0,1,2
https://twitter.com/0_MMXX_0/status/1268897810251788292,"8,142",23,"1,192"
https://twitter.com/0_MMXX_0/status/1269081169062006784,"8,126",29,975
https://twitter.com/0_MMXX_0/status/1269086519911829504,"1,548",15,179
https://twitter.com/0ffbe576aa6c419/status/1317092507579224066,8,1,0
https://twitter.com/0ffbe576aa6c419/status/1317092765948350464,3,2,0
https://twitter.com/0hmykhim/status/1317100304056213504,4,1,0
https://twitter.com/0jhy14lee/status/1317066339668815872,13,2,0
https://twitter.com/0jhy14lee/status/1317101436207951873,1,1,1
https://twitter.com/0mjtp/status/1307383098925961216?s=21,"4,888",22,364
https://twitter.com/0mjtp/status/1317109290272845824?s=19,11.9K,82,"1,921"
https://twitter.com/0s_s02/status/1317338289188188163,"7,299",36,987
https://twitter.com/0sanit_jm/status/1269628295462522880,2,1,1
https://twitter.com/0vrsnr/status/1317399648915501056,194,2,55
https://twitter.com/0yomb/status/1317115129268334595,2,1,2
https://twitter.com/1000Winds_/status/1317097792179851276,"4,148",56,"1,005"
https://twitter.com/100237/status/1317395717678264320,12,0,0
https://twitter.com/100237/status/1317438317655306241,25,0,0
https://twitter.com/10034Malinee/status/1317453832561979392,2,0,3
https://twitter.com/1003melody1/status/1230781487944888320,"9,929",21,"1,882"
https://twitter.com/1006ssp/status/1317100327951163392,44.2K,157,"9,593"
https://twitter.com/1008bli/status/1307582635397361665,51.5K,69,"8,371"
